dialogue_id,turn,text,role,topic,intent,sentiment,urgency,client_persona,operator_style
7,2,Приветствую! С какого устройства оформлялась оплата — с телефона или компьютера?,operator,payment,response,neutral,2,,оператор (дружелюбный)
7,3,"Подскажите, пожалуйста: код ошибки такй: ERR_402.",client,payment,payment_issue,negative,3,"Марина, 44 лет (спокойная, доброжелательная)",
7,4,"Сейчас разберёмся 🙂 перевыпустил ссылку на оплату, попробуйте по ней. Спасибо за терпение! (тикет №897055)",operator,payment,response,neutral,1,,оператор (дружелюбный)
8,1,"Немедленно нужно решить: деньги ушли, а чек об оплате не пришёл. Иначе буду писать жалобу (заказ №608155)!",client,payment,complaint_issue,negative,5,"Кристина, 33 лет (резкая, требовательная)",
8,2,"Привет! Не переживайте, понимаю вашу обеспокоенность, уже проверяю.",operator,payment,acknowledgment,neutral,3,,оператор (дружелюбный)
8,3,"Немедленно нужно решить: в приложении банка вижу списание, а у вас статус ""не оплачено"". Иначе буду писать жалобу.",client,payment,payment_issue,negative,5,"Кристина, 33 лет (резкая, требовательная)",
8,4,"Не переживайте, оплата прошла успешно, просто статус обновился с задержкой. Приятно было помочь. Номер обращения: 321154.",operator,payment,response,neutral,3,,оператор (дружелюбный)
9,1,"Извините, ребёнок плачет, отвлеклась, система пишет ошибку оплаты, но банк подтверждает списание. Пишу пока малыш спит 💛 💛",client,payment,payment_issue,negative,3,"Юлия, 31 лет (отвлекающаяся, но доброжелательная)",
9,2,Здравствуйте! Благодарю за обращение. Видите ли вы это списание в приложении банка прямо сейчас?,operator,payment,response,neutral,2,,оператор (формальный)
9,3,"Простите, дописываю на бегу, сумма списания 749 рублей, заказ на меньшую сумму. Извинните, если что-то путано объяснила, если нужно — заказ 40629.",client,payment,complaint_issue,negative,3,"Юлия, 31 лет (отвлекающаяся, но доброжелательная)",
9,4,"Заявка на возврат отправлена в банк, дальше решение за ними. Номер обращения: 401851.",operator,payment,response,neutral,3,,оператор (формальный)
10,1,"Добрый день, хочу понять, почему с меня списали больше, чем указано в заазе. Внучка обычно помогает, а её сейчас нет рядом!",client,payment,payment_issue,negative,4,"Валентина Ивановна, 67 лет (растерянная, вежливая)",
10,2,По делу: с какого устройства оформлялась оплата — с телефона или компьютера?,operator,payment,response,neutral,2,,оператор (деловой)
10,3,"Вот ведь незадача... порбовал и через приложение, и через сайт — результат одинаковый. Внучка обычно помогает, а её сейчас нет рядом.",client,payment,complaint_issue,negative,4,"Валентина Ивановна, 67 лет (растерянная, вежливая)",
10,4,"Проблема на стороне платёжной системы, уже сообщил техподдержке. Обращайтесь, если что-то ещё понадобится. Обращение зарегистрировано под номером 870520.",operator,payment,response,neutral,2,,оператор (деловой)
11,1,"Как обычно, оплата через СБП не проходит уже второй день!",client,payment,payment_issue,negative,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
11,2,"Приветствую! Не переживайте, подскажите номер телефона, привязанный к заказу, я проверю транзакции? (тикет №205208)",operator,payment,response,neutral,2,,оператор (дружелюбный)
11,3,"Внезапно (нет), оплачивал с телефона Xiaomi Reedmi Note 12, если это важно.",client,payment,technical_issue_issue,negative,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
11,4,"Проверил транзакцию — всё в порядке, заказ оплачен корректно. Хорошего дня! (тикет №657142)",operator,payment,response,neutral,1,,оператор (дружелюбный)
12,1,"Добрый день, я тут не сиильно разбираюсь, но с картты списали деньги, а заказ так и не оформился.",client,payment,complaint_issue,negative,4,"Валерий, 52 лет (растерянный новичок в технике)",
12,2,"По делу: какая сумма списалась, совпадает ли она со стоимостью заказа?",operator,payment,response,neutral,2,,оператор (деловой)
12,3,Код ошибки такой: ERR_CARD_LIMIT.,client,payment,payment_issue,neutral,3,"Валерий, 52 лет (растерянный новичок в технике)",
12,4,"По делу: оформил возврат излишне списанной суммы, ждите зачисления банком. Если возникнут вопросы — пишите.",operator,payment,response,neutral,2,,оператор (деловой)
13,1,"Привет, хочу понять, почему с меня списали больше, чем указано в заказе, номер заказа 925061.",client,payment,complaint_issue,negative,4,"Сергей, 29 лет (спокойный, технически подкованный)",
13,2,"Здравствуйте! Ситуация неприятная, проверим информацию.",operator,payment,acknowledgment,neutral,2,,оператор (заботливый)
13,3,"В приложении банка вижу списание, а у вас статус ""не оплачено"". Логи готов приложить, если нужно.",client,payment,complaint_issue,negative,4,"Сергей, 29 лет (спокойный, технически подкованный)",
13,4,"Понимаю, как это неприятно. Средства вернутся на карту в течение 3–5 рабочих дней. Обращение зарегистрировано под номером 617343.",operator,payment,response,positive,2,,оператор (заботливый)
14,1,"Коллеги, оплатил заказ, а в приложении статус так и не обновился.",client,payment,payment_issue,negative,3,"Сергей, 29 лет (спокойный, технически подкованный)",
14,2,"Привет! Не переживайте, скажите, пожалуйста, появляется ли какая-то ошибка при оплате? Номер обращения: 231620.",operator,payment,response,neutral,2,,оператор (дружелюбный)
14,3,"Коллеги, ошибка появляется прямо на этапе подтверждения оплаты.",client,payment,response,neutral,2,"Сергей, 29 лет (спокойный, технически подкованный)",
14,4,"Не переживайте, перевыпустил ссылку на оплату, попробуйте по ней. (тикет №994723)",operator,payment,response,neutral,2,,оператор (дружелюбный)
15,1,"Добрый день, Немедленно нужно решить: не получается привязать новую карту для оплаты. Иначе буду писать жалобу.",client,payment,complaint_issue,negative,5,"Кристина, 33 лет (резкая, требовательная)",
15,2,"Здравствуйте! Понимаю, как это неприятно. Уточните способ оплаты — картой, через СБП или иначе?",operator,payment,response,neutral,3,,оператор (заботливый)
15,3,Срочно: сколько времени займёт решение вопроса?!,client,payment,ask_timing,negative,5,"Кристина, 33 лет (резкая, требовательная)",
15,4,"Сочувствую, сейчас поможем. Списание отменено, деньги вернутся на счёт в течение суток. (тикет №867493)",operator,payment,response,neutral,4,,оператор (заботливый)
16,1,"Простите, дописыываю на бегу, когда примерно вернут деньги. Пишу пока малыш спит 💛, номер заказа 223571! 🙏",client,payment,ask_timing,neutral,3,"Юлия, 31 лет (отвлекающаяся, но доброжелательная)",
16,2,"Добрый день! Понимаю, как это неприятно. Видите ли вы это списание в приложении банка прямо сейчас?",operator,payment,response,neutral,2,,оператор (заботливый)
16,3,"Подскажите, сколько обычно жддать возврат средств (заказ №924430).",client,payment,ask_timing,neutral,2,"Юлия, 31 лет (отвлекающаяся, но доброжелательная)",
16,4,"Понимаю, как это неприятно. Попробуйте повторить оплату через несколько минут или другим способом. Номер обращения: 398711.",operator,payment,response,neutral,1,,оператор (заботливый)
17,1,"Оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,negative,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
17,2,"Здрасте! Уточните, пожалуйста, номер заказа для проверки платежа? Обращение зарегистрировано под номером 105240.",operator,payment,response,neutral,1,,оператор (дружелюбный)
17,3,"Не могли бы вы подсказать: сумма списания 749 рублей, заказ на меньшую сумму. Буду признателен за скорый ответ.",client,payment,payment_issue,neutral,2,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
17,4,"Деньги придут в течение суток, чек продублирую на почту. Номер обращения: 640333.",operator,payment,response,neutral,1,,оператор (дружелюбный)
18,1,"Простите что беспокою, у меня не проходит оплата картой, уже пробовал несколькко раз. Помогите пожалуйста, очень надо, номер заказа 437668 😢",client,payment,complaint_issue,negative,4,"Аня, 21 лет (эмоциональная, тревожная)",
18,2,Приветствую! Когда именно произошло списание — сегодня или раньше? Обращение зарегистрировано под номером 725194.,operator,payment,response,neutral,2,,оператор (дружелюбный)
18,3,Как быстро обычно рассматривают такие заявки? 🙏,client,payment,ask_timing,negative,3,"Аня, 21 лет (эмоциональная, тревожная)",
18,4,"Сейчас разберёмся 🙂 оформил возврат излишне списанной суммы, ждите зачисления банком.",operator,payment,response,neutral,2,,оператор (дружелюбный)
19,1,"Привет, Не могли бы вы подсказать: деньги ушли, а чек об оплате не пришёл. Буду признателен за скорый ответ.",client,payment,technical_issue_issue,negative,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
19,2,"Приветствую! Не переживайте, видите ли вы это списание в приложении банка прямо сейчас?",operator,payment,response,neutral,1,,оператор (дружелюбный)
19,3,"Не могли бы вы подсказать: пробовал и через приложение, и через сайт — результат одинаковый. Заранее благодарен за содействие.",client,payment,payment_issue,negative,3,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
19,4,"Не переживайте, исправил данные по заказу, повторное списание больше не потребуется. Спасибо за терпение!",operator,payment,response,neutral,2,,оператор (дружелюбный)
20,1,"Привет, простите что беспокою, система пишет ошибку оплаты, но банк подтверждает списание, если нужно — заказ 722124!",client,payment,complaint_issue,negative,5,"Аня, 21 лет (эмоциональная, тревожная)",
20,2,"Здравствуйте! Понимаю, как это неприятно. Когда именно произошло списание — сегодня или раньше? (тикет №142258)",operator,payment,response,neutral,3,,оператор (заботливый)
20,3,"А можно вопрос, крта та же, что и всегда, раньше прооблем не было (заказ №682249).",client,payment,payment_issue,negative,4,"Аня, 21 лет (эмоциональная, тревожная)",
20,4,"Понимаю, как это неприятно. Проблема на стороне платёжной системы, уже сообщил техподдержке. Хорошего дня!",operator,payment,response,neutral,3,,оператор (заботливый)
21,1,Оплата через СБП не проходит уже второй день. Ждём-с!,client,payment,payment_issue,negative,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
21,2,Добрый день! Благодарю за обращение. С какого устройства оформлялась оплата — с телефона или компьютера? Номер обращения: 784065.,operator,payment,response,neutral,2,,оператор (формальный)
21,3,"Пишет, что операция отклонена, хотя деньги на карте есть. Ну хоть посмеялся, и то дело.",client,payment,payment_issue,neutral,2,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
21,4,"Благодарю за обращение. Заявка на возврат отправлена в банк, дальше решение за ними. Номер обращения: 741702.",operator,payment,response,neutral,1,,оператор (формальный)
22,1,"Добрый день, деньги списались дважды за один и тот же заказ, если нужно — заказ 221102.",client,payment,complaint_issue,negative,5,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
22,2,"Добрый день. Скажите, пожалуйста, появляется ли какая-то ошибка при оплате?",operator,payment,response,neutral,3,,оператор (деловой)
22,3,"Будьте добры, карта та же, что и всегда, раньше проблем не было.",client,payment,payment_issue,negative,4,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
22,4,"По делу: проверил транзакцию — всё в порядке, заказ оплачен корректно.",operator,payment,response,positive,2,,оператор (деловой)
23,1,"Я тут не сильно разбираюсь, но у меня не проходит оплата кратой, уже пробовал несколько раз. Объясните, пожалуйста, попроще...",client,payment,payment_issue,negative,4,"Валерий, 52 лет (растерянный новичок в технике)",
23,2,"Добрый день. Какая сумма списалась, совпадает ли она со стоимостью заказа?",operator,payment,response,neutral,2,,оператор (деловой)
23,3,"Пишет, что операция отклонена, хотя деньги на карте есть. Я в этих ваших приложениях не очень...",client,payment,response,neutral,2,"Валерий, 52 лет (растерянный новичок в технике)",
23,4,Средства вернутся на карту в течение 3–5 рабочих дней. Спасибо за терпение!,operator,payment,response,neutral,2,,оператор (деловой)
24,1,"Здрасте, Подскажите, пожалуйста: с карты списали деньги, а заказ так и не оформился.",client,payment,payment_issue,negative,3,"Марина, 44 лет (спокойная, доброжелательная)",
24,2,"Добрый день. Уточните, пожалуйста, номер заказа для проверки платежа?",operator,payment,response,neutral,2,,оператор (деловой)
24,3,"Подскажите, пожалуйста: когда примерно вернут деньги. Спасибо, что разбираетесь.",client,payment,ask_timing,negative,3,"Марина, 44 лет (спокойная, доброжелательная)",
24,4,"Вижу двойное списание, вторая операция будет отменена автоматически.",operator,payment,response,neutral,3,,оператор (деловой)
25,1,"Здравствуйте, third раз пишу, оплата через СБП не походит уже второй день!",client,payment,technical_issue_issue,negative,3,"Дмитрий, 34 лет (уставший, раздражённый)",
25,2,"Добрый день! Благодарю за обращение. Уточните способ оплаты — картой, через СБП или иначе?",operator,payment,response,neutral,2,,оператор (формальный)
25,3,"Да сколько можно, в приложении банка вижу списание, а у вас статус ""не оплачено"". Дети под ногами, времени разбираться нет.",client,payment,payment_issue,negative,3,"Дмитрий, 34 лет (уставший, раздражённый)",
25,4,"Благодарю за обращение. Оплата прошла успешно, просто статус обновился с задержкой.",operator,payment,response,neutral,1,,оператор (формальный)
26,1,"Внезапно (нет), не получается привязать новю карту для оплаты. Ну хоть посмеялся, и то дело, номер заказа 383174.",client,payment,complaint_issue,negative,4,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
26,2,"Добрый день! Подскажите номер телефона, привязанный к заказу, я проверю транзакции? Номер обращения: 428216.",operator,payment,response,neutral,2,,оператор (заботливый)
26,3,Когда можно ожидать ответ по моему обращению?,client,payment,ask_timing,negative,4,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
26,4,"Заявка на возврат отправлена в банк, дальше решение за ними. Спасибо за терпение! (тикет №913010)",operator,payment,response,neutral,2,,оператор (заботливый)
27,1,"Простите, дописываю на бегу, оплата отклоняется, хотя на счеут достаточно средств!",client,payment,payment_issue,negative,2,"Юлия, 31 лет (отвлекающаяся, но доброжелательная)",
27,2,Здрасте! Сейчас разберёмся 🙂 с какого устройства оформлялась оплата — с телефона или компьютера?,operator,payment,response,neutral,1,,оператор (дружелюбный)
27,3,Код ошибки такой: ERR_CARD_LIMIT! 🙂,client,payment,complaint_issue,negative,3,"Юлия, 31 лет (отвлекающаяся, но доброжелательная)",
27,4,"Оплата прошла успешно, просто статус обновился с задержкой. Спасибо за терпение! Номер обращения: 962639.",operator,payment,response,neutral,2,,оператор (дружелюбный)
28,1,"Привет, да сколько можно, подскажите, сколько обычно ждать возврат средств. Уже нервы на пределе!",client,payment,ask_timing,neutral,2,"Дмитрий, 34 лет (уставший, раздражённый)",
28,2,"Здравствуйте! Подскажите номер телефона, привязанный к заказу, я проверю транзакции?",operator,payment,response,neutral,1,,оператор (заботливый)
28,3,"Благодарю, выручили. Уже нервы на пределе.",client,payment,gratitude,positive,1,"Дмитрий, 34 лет (уставший, раздражённый)",
29,1,"Простите что беспкою, деньги ушли, а чек об оплате не пришёл. Очень пеерживаю из-за этого!",client,payment,complaint_issue,negative,4,"Аня, 21 лет (эмоциональная, тревожная)",
29,2,"Здравствуйте! Понимаю, как это неприятно. Согласен, это действительно неудобно, разбираемся.",operator,payment,acknowledgment,neutral,2,,оператор (заботливый)
29,3,"Прростите что беспокою, пробовал и черзе приложение, и через сайт — результат одинаковый 💛",client,payment,response,neutral,2,"Аня, 21 лет (эмоциональная, тревожная)",
29,4,"Вижу двойное списание, вторая операция будет отменена автоматически. Если возникнут вопросы — пишите. Обращение зарегистрировано под номером 963423.",operator,payment,response,neutral,2,,оператор (заботливый)
30,1,"Ну вот, оплатил заказ, а в приложении статус так и не обновился (заказ №507580)!",client,payment,payment_issue,negative,3,"Николай Петрович, 64 лет (ворчливый, недовольный)",
30,2,"Здравствуйте! Благодарю за обращение. Скажите, пожалуйста, появляется ли какая-то ошибка при оплате?",operator,payment,response,neutral,2,,оператор (формальный)
30,3,Ошибка появляется прямо на этапе подтвержденяи оплаты.,client,payment,technical_issue_issue,negative,3,"Николай Петрович, 64 лет (ворчливый, недовольный)",
30,4,"Деньги придут в течение суток, чек продублирую на почту.",operator,payment,response,neutral,2,,оператор (формальный)
31,1,"Добрый день, меня это очень беспокоит, хочу понять, почему с меня списали больше, чем указано в заказе. Простите за настойчивость, просто переживаю!",client,payment,technical_issue_issue,negative,3,"Олег, 46 лет (тревожный, дотошный)",
31,2,"Добрый день. По делу: понимаю ваше недовольство, сейчас во всём разберёмся.",operator,payment,acknowledgment,neutral,2,,оператор (деловой)
31,3,"Меня это очень беспокоит, оплачивал с телефона Pixel 7, еслли это важно. Надеюсь, всё решаемо.",client,payment,payment_issue,negative,3,"Олег, 46 лет (тревожный, дотошный)",
31,4,"По делу: перевыпустил ссылку на оплату, попробуйте по ней. (тикет №258110)",operator,payment,response,neutral,2,,оператор (деловой)
32,1,"Добрый день, чел, деньги списались дваджы за одн и тот же заказ!",client,payment,complaint_issue,negative,4,"Макс, 20 лет (нетерпеливый, сленговый)",
32,2,"Здравствуйте! Уточните способ оплаты — картой, через СБП или иначе? Обращение зарегистрировано под номером 365923.",operator,payment,response,neutral,2,,оператор (заботливый)
32,3,"Короче, сумма списания 3100 рублей, заказ на меньшую сумму. как так вообще.",client,payment,complaint_issue,negative,3,"Макс, 20 лет (нетерпеливый, сленговый)",
32,4,Попробуйте повторить оплату через несколько минут или другим способом. Спасибо за терпение!,operator,payment,response,positive,2,,оператор (заботливый)
33,1,"Здрасте, извинните за глупый вопрос, система пишет ошибку оплаты, но банк подтверждает списание. Объясните, пожалуйста, поопроще...",client,payment,payment_issue,negative,4,"Валерий, 52 лет (растерянный новичок в технике)",
33,2,Здравствуйте! Когда именно произошло списание — сегодня или раньше?,operator,payment,response,neutral,2,,оператор (заботливый)
33,3,"Я тут не слиьно разбираюсь, но код ошшибки такой: ERR_402 (заказ №67029).",client,payment,complaint_issue,negative,4,"Валерий, 52 лет (растерянный новичок в технике)",
33,4,Средства вернутся на карту в течение 3–5 рабочих дней. Приятно было помочь. Номер обращения: 427843.,operator,payment,response,neutral,2,,оператор (заботливый)
34,1,Оплата через СБП не проходит уже второй день. Могу описать шаги воспроизведения.,client,payment,payment_issue,negative,3,"Сергей, 29 лет (спокойный, технически подкованный)",
34,2,"Привет! Сейчас разберёмся 🙂 уточните, пожалуйста, номер заказа для проверки платежа? (тикет №559766)",operator,payment,response,neutral,2,,оператор (дружелюбный)
34,3,"Смотрите, оплачивал с телефона Xiaomi Redmi Note 12, если это важно. Могу описать шаги воспроизведения.",client,payment,payment_issue,negative,3,"Сергей, 29 лет (спокойный, технически подкованный)",
34,4,"Списание отменено, деньги вернутся на счёт в течение суток.",operator,payment,response,neutral,1,,оператор (дружелюбный)
35,1,"Короче, не получается привязать новую карту для оплаты. как так вообще.",client,payment,payment_issue,negative,5,"Макс, 20 лет (нетерпеливый, сленговый)",
35,2,"Добрый день! Благодарю за обращение. Понимаю вашу обеспокоенность, уже проверяю.",operator,payment,acknowledgment,neutral,3,,оператор (формальный)
35,3,"Чел, ошибка появляется прямо на этапе подтверждения оплаты. как так вообще 🙏",client,payment,complaint_issue,negative,5,"Макс, 20 лет (нетерпеливый, сленговый)",
35,4,"Оформил возврат излишне списанной суммы, ждите зачисления банком. (тикет №177570)",operator,payment,response,neutral,4,,оператор (формальный)
36,1,"Здрасте, как обычно, сколько времени займёт решение вопроса. Ждём-с.",client,payment,ask_timing,neutral,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
36,2,"Здравствуйте! Понимаю, как это неприятно. Видите ли вы это списание в приложении банка прямо сейчас?",operator,payment,response,neutral,2,,оператор (заботливый)
36,3,"Пишет, что операция отклонена, хотя деньги на карте есть. Ждём-с 😔",client,payment,complaint_issue,negative,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
36,4,"Понимаю, как это неприятно. Исправил данные по заказу, повторное списание больше не потребуется. Хорошего дня!",operator,payment,response,neutral,2,,оператор (заботливый)
37,1,"Здравствуйте, Подскажите, пожалуйста: оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,negative,3,"Марина, 44 лет (спокойная, доброжелательная)",
37,2,"Какая сумма списалась, совпадает ли она со стоимостью заказа?",operator,payment,response,neutral,2,,оператор (деловой)
37,3,"Пробовал и через приложение, и через сайт — результат одинаковый. Спасибо, что разбираетесь.",client,payment,technical_issue_issue,negative,3,"Марина, 44 лет (спокойная, доброжелательная)",
37,4,"По делу: проверил транзакцию — всё в порядке, заказ оплачен корректно.",operator,payment,response,neutral,1,,оператор (деловой)
38,1,"Здрасте, система пишет ошибку оплаты, но банк подтверждает списаие. Надеюсь, всё решаемо, если нужно — заказ 593563.",client,payment,complaint_issue,negative,5,"Олег, 46 лет (тревожный, дотошный)",
38,2,"Здравствуйте! Понимаю, как это неприятно. С какого устройства оформлялась оплата — с телефона или компьютера?",operator,payment,response,neutral,3,,оператор (заботливый)
38,3,"Я уже начал переживать, в приложении банка вижу списание, а у вас статус ""не оплачено""...",client,payment,complaint_issue,negative,4,"Олег, 46 лет (тревожный, дотошный)",
38,4,"Сочувствую, сейчас поможем. Проблема на стороне платёжной системы, уже сообщил техподдержке.",operator,payment,response,neutral,3,,оператор (заботливый)
39,1,"Добрый день, Не могли бы вы подсказать: хочу понять, почему с меня списали больше, чем указано в заказе, номер заказа 972372.",client,payment,payment_issue,negative,4,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
39,2,Благодарю за обращение. Когда именно произошло списание — сегодня или раньше?,operator,payment,response,neutral,2,,оператор (формальный)
39,3,"Будьте добры, сумма списания 399 рублей, заказ на меньшую сумму. Заранее благодарен за содействие.",client,payment,complaint_issue,negative,4,"Александр Петрович, 57 лет (интеллигентный, уважительный)",
39,4,"Списание отменено, деньги вернутся на счёт в течение суток.",operator,payment,response,neutral,3,,оператор (формальный)
40,1,"А можно вопрсо, деньги списались дважды за ОДИН и тот же закз. Помогите пожалуйста, очень надо, если нужно — заказ 11532.",client,payment,technical_issue_issue,negative,3,"Аня, 21 лет (эмоциональная, тревожная)",
40,2,"Приветствую! Не переживайте, понимаю ваше недовольство, сейчас во всём разберёмся.",operator,payment,acknowledgment,neutral,2,,оператор (дружелюбный)
40,3,"Ой, крта та же, что и всегда, раньше ПРОБЛЕМ не было.",client,payment,payment_issue,negative,3,"Аня, 21 лет (эмоциональная, тревожная)",
40,4,"Исправил данные по заказу, повторное списание больше не потребуется!",operator,payment,response,neutral,2,,оператор (дружелюбный)
41,1,"Добрый день, как обычно, оплатил заказ, а в приложении статус так и не обновился. Ждём-с.",client,payment,payment_issue,negative,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
41,2,"Добрый день. По делу: скажите, пожалуйста, появляется ли какая-то ошибка при оплате?",operator,payment,response,neutral,2,,оператор (деловой)
41,3,"Внезапно (нет), код ошибки такой: TIMEOUT_509. Ждём-с.",client,payment,technical_issue_issue,negative,3,"Артём, 27 лет (ироничный, сдержанно-саркастичный)",
41,4,"По делу: перевыпустил ссылку на оплату, попробуйте по ней. Приятно было помочь.",operator,payment,response,neutral,2,,оператор (деловой)
42,1,"Добрый день. у меня не проходит оплата картой, уже пробовал несколько раз. Прошу решить оперативно.",client,payment,complaint_issue,negative,4,"Ирина Сергеевна, 39 лет (деловая, лаконичная)",
42,2,"Здравствуйте! Понимаю, как это неприятно. Уточните способ оплаты — картой, через СБП или иначе? Номер обращения: 310473.",operator,payment,response,neutral,2,,оператор (заботливый)
