,dialogue_id,turn,text,role,topic,intent,sentiment,urgency
77,20,1,"Привет, простите что беспокою, система пишет ошибку оплаты, но банк подтверждает списание, если нужно — заказ 722124!",client,payment,complaint_issue,negative,5
79,20,3,"А можно вопрос, крта та же, что и всегда, раньше прооблем не было (заказ №682249).",client,payment,payment_issue,negative,4
81,21,1,Оплата через СБП не проходит уже второй день. Ждём-с!,client,payment,payment_issue,negative,3
83,21,3,"Пишет, что операция отклонена, хотя деньги на карте есть. Ну хоть посмеялся, и то дело.",client,payment,payment_issue,neutral,2
85,22,1,"Добрый день, деньги списались дважды за один и тот же заказ, если нужно — заказ 221102.",client,payment,complaint_issue,negative,5
87,22,3,"Будьте добры, карта та же, что и всегда, раньше проблем не было.",client,payment,payment_issue,negative,4
89,23,1,"Я тут не сильно разбираюсь, но у меня не проходит оплата кратой, уже пробовал несколько раз. Объясните, пожалуйста, попроще...",client,payment,payment_issue,negative,4
91,23,3,"Пишет, что операция отклонена, хотя деньги на карте есть. Я в этих ваших приложениях не очень...",client,payment,response,neutral,2
93,24,1,"Здрасте, Подскажите, пожалуйста: с карты списали деньги, а заказ так и не оформился.",client,payment,payment_issue,negative,3
95,24,3,"Подскажите, пожалуйста: когда примерно вернут деньги. Спасибо, что разбираетесь.",client,payment,ask_timing,negative,3
97,25,1,"Здравствуйте, third раз пишу, оплата через СБП не походит уже второй день!",client,payment,technical_issue_issue,negative,3
99,25,3,"Да сколько можно, в приложении банка вижу списание, а у вас статус ""не оплачено"". Дети под ногами, времени разбираться нет.",client,payment,payment_issue,negative,3
101,26,1,"Внезапно (нет), не получается привязать новю карту для оплаты. Ну хоть посмеялся, и то дело, номер заказа 383174.",client,payment,complaint_issue,negative,4
103,26,3,Когда можно ожидать ответ по моему обращению?,client,payment,ask_timing,negative,4
105,27,1,"Простите, дописываю на бегу, оплата отклоняется, хотя на счеут достаточно средств!",client,payment,payment_issue,negative,2
107,27,3,Код ошибки такой: ERR_CARD_LIMIT! 🙂,client,payment,complaint_issue,negative,3
109,28,1,"Привет, да сколько можно, подскажите, сколько обычно ждать возврат средств. Уже нервы на пределе!",client,payment,ask_timing,neutral,2
111,28,3,"Благодарю, выручили. Уже нервы на пределе.",client,payment,gratitude,positive,1
112,29,1,"Простите что беспкою, деньги ушли, а чек об оплате не пришёл. Очень пеерживаю из-за этого!",client,payment,complaint_issue,negative,4
114,29,3,"Прростите что беспокою, пробовал и черзе приложение, и через сайт — результат одинаковый 💛",client,payment,response,neutral,2
116,30,1,"Ну вот, оплатил заказ, а в приложении статус так и не обновился (заказ №507580)!",client,payment,payment_issue,negative,3
118,30,3,Ошибка появляется прямо на этапе подтвержденяи оплаты.,client,payment,technical_issue_issue,negative,3
120,31,1,"Добрый день, меня это очень беспокоит, хочу понять, почему с меня списали больше, чем указано в заказе. Простите за настойчивость, просто переживаю!",client,payment,technical_issue_issue,negative,3
122,31,3,"Меня это очень беспокоит, оплачивал с телефона Pixel 7, еслли это важно. Надеюсь, всё решаемо.",client,payment,payment_issue,negative,3
124,32,1,"Добрый день, чел, деньги списались дваджы за одн и тот же заказ!",client,payment,complaint_issue,negative,4
126,32,3,"Короче, сумма списания 3100 рублей, заказ на меньшую сумму. как так вообще.",client,payment,complaint_issue,negative,3
128,33,1,"Здрасте, извинните за глупый вопрос, система пишет ошибку оплаты, но банк подтверждает списание. Объясните, пожалуйста, поопроще...",client,payment,payment_issue,negative,4
130,33,3,"Я тут не слиьно разбираюсь, но код ошшибки такой: ERR_402 (заказ №67029).",client,payment,complaint_issue,negative,4
132,34,1,Оплата через СБП не проходит уже второй день. Могу описать шаги воспроизведения.,client,payment,payment_issue,negative,3
134,34,3,"Смотрите, оплачивал с телефона Xiaomi Redmi Note 12, если это важно. Могу описать шаги воспроизведения.",client,payment,payment_issue,negative,3
136,35,1,"Короче, не получается привязать новую карту для оплаты. как так вообще.",client,payment,payment_issue,negative,5
138,35,3,"Чел, ошибка появляется прямо на этапе подтверждения оплаты. как так вообще 🙏",client,payment,complaint_issue,negative,5
140,36,1,"Здрасте, как обычно, сколько времени займёт решение вопроса. Ждём-с.",client,payment,ask_timing,neutral,3
142,36,3,"Пишет, что операция отклонена, хотя деньги на карте есть. Ждём-с 😔",client,payment,complaint_issue,negative,3
144,37,1,"Здравствуйте, Подскажите, пожалуйста: оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,negative,3
146,37,3,"Пробовал и через приложение, и через сайт — результат одинаковый. Спасибо, что разбираетесь.",client,payment,technical_issue_issue,negative,3
148,38,1,"Здрасте, система пишет ошибку оплаты, но банк подтверждает списаие. Надеюсь, всё решаемо, если нужно — заказ 593563.",client,payment,complaint_issue,negative,5
150,38,3,"Я уже начал переживать, в приложении банка вижу списание, а у вас статус ""не оплачено""...",client,payment,complaint_issue,negative,4
152,39,1,"Добрый день, Не могли бы вы подсказать: хочу понять, почему с меня списали больше, чем указано в заказе, номер заказа 972372.",client,payment,payment_issue,negative,4
154,39,3,"Будьте добры, сумма списания 399 рублей, заказ на меньшую сумму. Заранее благодарен за содействие.",client,payment,complaint_issue,negative,4
156,40,1,"А можно вопрсо, деньги списались дважды за ОДИН и тот же закз. Помогите пожалуйста, очень надо, если нужно — заказ 11532.",client,payment,technical_issue_issue,negative,3
158,40,3,"Ой, крта та же, что и всегда, раньше ПРОБЛЕМ не было.",client,payment,payment_issue,negative,3
160,41,1,"Добрый день, как обычно, оплатил заказ, а в приложении статус так и не обновился. Ждём-с.",client,payment,payment_issue,negative,3
162,41,3,"Внезапно (нет), код ошибки такой: TIMEOUT_509. Ждём-с.",client,payment,technical_issue_issue,negative,3
164,42,1,"Добрый день. у меня не проходит оплата картой, уже пробовал несколько раз. Прошу решить оперативно.",client,payment,complaint_issue,negative,4
166,42,3,Добрый день. через сколько дней ждать зачисления?,client,payment,ask_timing,negative,3
168,43,1,"Добрый день, Смотрите, с карты списали деньги, а заказ так и не оформился.",client,payment,payment_issue,negative,4
170,43,3,"Смотрите, подскажите, сколько обычно ждать возврат средств. Логи готов приложить, если нужно.",client,payment,ask_timing,neutral,3
172,44,1,"Да сколько можно, деньги ушли, а чек об оплте не пришёл.",client,payment,payment_issue,negative,3
174,44,3,"Слушайте, пробовал и через приложение, и через сайт — результат оиднаковый.",client,payment,response,neutral,2
176,45,1,Не получается привязать новую катру для оплаты.,client,payment,complaint_issue,negative,5
178,45,3,"Сын подсказал написать вам: пиет, что операция отклонена, хотя деньги на карте есть...",client,payment,complaint_issue,negative,5
180,46,1,Это уже недопустимо. сколько времени займёт решение вопроса. Иначе буду писать жалобу.,client,payment,ask_timing,neutral,2
182,46,3,"НЕМЕДЛЕННО нужно решить: сумма списания 599 рублей, заказ на меньшую сумму.",client,payment,response,neutral,1
183,47,1,"Оплатил заказ, а в приложении статус так и не обновился. Времени на это у меня немного.",client,payment,payment_issue,negative,3
185,47,3,"Добрый день. в приложении банка вижу списание, а у вас статус ""не оплачено"". Прошу решить оперативно, если нужно — заказ 379279.",client,payment,payment_issue,neutral,2
187,48,1,"Добрый день, слуш, у меня не проходит оплата картой, уже проовал несколько раз. как так вообще (заказ №413497)! 🙂",client,payment,complaint_issue,negative,4
189,48,3,"Олачивал с телефона Xiaomi Redmi Note 12, если это важно!",client,payment,payment_issue,negative,4
191,48,5,"Слуш, супер, спасибо. как так вообще! 🙂",client,payment,gratitude,positive,1
192,49,1,"Привет, Подскажите, пожалуйста: деньгги ушли, а чек об оплате не пришёл.",client,payment,payment_issue,negative,3
194,49,3,"Подскажите, пожалуйста: когда примерно вернут деньги. Спасибо, что разбираетесь.",client,payment,ask_timing,negative,3
196,50,1,"Хочу понять, почему с меня списали больше, чем указано в заказе.",client,payment,payment_issue,negative,3
197,50,1,"Коллеги, ошибка появляется прямо на этапе подтверждения оплаты.",client,payment,payment_issue,negative,3
200,50,3,"Коллеги, карта та же, что и всегда, раньше проблем не было.",client,payment,technical_issue_issue,negative,3
201,50,3,"В приложении банка вижу списание, а у вас статус ""не оплачено"". Логи готов приложить, если нужно.",client,payment,response,neutral,1
204,51,1,"Привет, Будьте добры, когда можно ожидать ответ по моему обращению?",client,payment,ask_timing,neutral,4
206,52,1,"Здрасте, Срочно: с карты списали деньги, а заказ так и не оформился!",client,payment,payment_issue,neutral,4
208,52,3,"Срочно: отлично, спасибо за оперативность, если нужно — заказ 318352.",client,payment,gratitude,positive,2
210,53,1,"Привет, оплата через СБП не проходит уже второй день. В наше время такоо бардака не было!",client,payment,payment_issue,negative,5
212,53,3,"Ну вот, сумма списания 399 рублей, заказ на меньшую сумму!",client,payment,response,neutral,3
214,54,1,"Привет, Немедленнно нужно решить: система пишет ошибку оплаты, но банк подтверждает списание.",client,payment,payment_issue,negative,4
216,54,3,"Спасибо, что разобрались так быстро!",client,payment,gratitude,positive,2
218,55,1,"Чел, оплата отклоняется, хотя на счету достаточно средств!",client,payment,payment_issue,neutral,5
220,55,3,"Пробовал и через приложение, и через сайт — результат одинаковый!",client,payment,response,neutral,3
222,56,1,"Привет, слуш, деньги списались дважды за один и тот же заказ. как так вообще 🙏",client,payment,payment_issue,negative,4
224,56,3,"Бро, ошибка появляется пямо на этпе подтверждения оплаты, номер заказа 148073!",client,payment,response,neutral,2
226,57,1,"Система пишет ошибку оплаты, но банк подтверждает списание. Могу описать шаги воспроизведения.",client,payment,payment_issue,negative,4
228,57,3,"Карта та же, что и всегда, раньше проблем не было. Логи готов приложить, если нужно, номер заказа 847889.",client,payment,response,neutral,2
231,58,2,"Сын посказал написать вам: хоочу понять, почему с меня списали больше, чем указано в заказе...",client,payment,response,neutral,5
233,59,1,"Деньги ушли, а чек об оплате не пришёл. Времени на это у меня немного.",client,payment,payment_issue,neutral,5
235,59,3,"Понял, спасибо за помощь, номер заказа 185633.",client,payment,gratitude,positive,3
238,60,2,"Ну красота просто, оплата через СБП не проходит уже второй день.",client,payment,response,neutral,4
240,60,4,"Принято, спасибо за информацию!",client,payment,acknowledgment,neutral,2
242,61,2,"Сын подсказал написать вам: денььги списалиссь дважды за один и тот же заказ. Объясните, пожалуйста, попроще...",client,payment,response,neutral,3
244,62,1,"Дборый днь, простите что беспокою, оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,neutral,3
246,62,3,"Хорошо, спасибо за ответ. Помогите пожалйста, очень надо!!",client,payment,gratitude,positive,1
248,63,1,"Привет, Прошу прощения за беспокойство, не получается привязать новую карту для оплаты.",client,payment,payment_issue,neutral,5
250,63,3,Не могли бы вы подсказать: код ошибки такой: PAYMENT_DECLINED. Заранее благодарен за содействие...,client,payment,response,neutral,3
251,64,1,"Здравствуйте, у меня не проходит оплата картой, уже пробовал несколько раз (заказ №862263).",client,payment,payment_issue,negative,4
253,64,3,"Подскажите, пожалуйста: оплачивал с телефона Honor 90, если это важно.",client,payment,response,neutral,2
255,65,1,"Ой, с карты списали деньги, а заказ так и не оформился. Очень переживаю из-за этого!",client,payment,payment_issue,negative,4
257,65,3,"Ой, пишет, что оперцаия отклонена, хотя деньги на карте есть! 😔",client,payment,response,neutral,2
259,66,1,"Оплатил заказ, а в приложении статус так и не обновился (заказ №732343).",client,payment,payment_issue,neutral,4
261,66,3,"Добрый день! код ошибки такой: ERR_CARD_LIMIT, номер заказа 307028.",client,payment,response,neutral,2
264,67,2,"Добрый день, меня это очень беспокоит, у меня не проходит оплата картой, уже пробовал несколько раз.",client,payment,response,neutral,3
266,67,4,"Мея это очень беспокоит, ладно, тогда подожду.",client,payment,acknowledgment,neutral,1
267,68,1,"Здрасте, оплатил заказ, а в приложении статус так и не обновился.",client,payment,payment_issue,neutral,3
269,68,3,"К делу: пишет, что операция отклонена, хотя деньги на карте есть.",client,payment,response,neutral,1
271,69,1,"Здрасте, деньги ушли, а чек об олате не пришёл...",client,payment,payment_issue,neutral,5
273,69,3,"Детчка, в приложении банка вижу списание, а у вас статус ""не оплачено"". Внучка обычно помогает, а её сейчас нет рядом...",client,payment,response,neutral,3
275,70,2,К делу: не получается привязать новую карту для оплаты.,client,payment,response,neutral,5
277,70,4,"К делу: понял, ждём, если нужно — заказ 588934.",client,payment,acknowledgment,neutral,3
278,71,1,Срочно: деньги списались дважды за один и тот же заказ (заказ №695743)!,client,payment,payment_issue,neutral,5
280,71,3,"Срочно: сумма списания 3100 рублей, заказ на меньшую сумму, если нужно — заказ 178473!",client,payment,response,neutral,3
282,72,1,"Здравствуйте, Добрый день! оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,neutral,5
284,72,3,"Подскажите, пожалуйста: оплачивал с телефона Samsuung Galaxy A54, если это важно. Спасибо, что разбираетесь.",client,payment,response,neutral,3
286,73,1,"Сынок, хочу понять, почему с меня списаи больше, чем указано в заказе, номер заказа 400774...",client,payment,payment_issue,neutral,5
288,73,3,"Снок, карта та же, что и всегда, раньше проблем не было...",client,payment,response,neutral,3
290,74,1,"Добрый день, ой, простие за беспокойство, как быстро обычно рассматривают такие заявки?",client,payment,ask_timing,neutral,4
292,74,3,"Деточка, ошибка появляется прямо на этаапе подтверждения оплаты (заказ №725157).",client,payment,response,neutral,2
294,75,1,"Приевт, да сколько можно, с карты списали деньги, а заказ так и не оформился.",client,payment,payment_issue,neutral,3
296,75,3,"Слушайте, спасибо, вопрос решён!",client,payment,gratitude,positive,1
298,76,1,"Будьте добры, оплата через СБП не проходит уже второй день. Заранее благодарен за содействие.",client,payment,payment_issue,negative,5
300,76,3,"Будьте добры, пробовал и через приложение, и через сайт — результат одинаковый.",client,payment,response,neutral,3
302,77,1,"Добрый день, Смотрите, через сколько дней ждать зачисления?",client,payment,ask_timing,neutral,3
304,77,3,"Смотрите, код ошибки такой: ERR_CARD_LIMIT. Могу описать шаги воспроизведения.",client,payment,response,neutral,1
306,78,1,"Система пишет ошибку оплаты, но банк подтверждает списание. Спасибо, что разбираетесь.",client,payment,payment_issue,neutral,5
308,78,3,"Сумма списания 749 рублей, заказ на меньшую сумму.",client,payment,response,neutral,3
310,79,1,"Ну красота просто, когда можно ожидать ответ по моему обращению?",client,payment,ask_timing,neutral,5
312,79,3,"Внезапно (нет), в приложении банка вижу списание, а у вас статус ""не оплачено"". Ну хоть посмеялся, и то дело.",client,payment,response,neutral,3
314,80,1,Деньиг СПИСАЛИСЬ дважды за один и тот же заказ.,client,payment,payment_issue,neutral,3
316,80,3,"Опять двадцать пять, ошибка появляется прямо на этапе подтверждения оплаты. Совсем распустились.",client,payment,response,neutral,1
318,81,1,"Привет, Срочно: с карты списали деньги, а заказ так и не оформился. Иначе буду писать жалобу.",client,payment,payment_issue,negative,3
320,81,3,"Пишет, что операция отклонена, хотя деньги на карте есть!",client,payment,response,neutral,1
323,82,2,"Я тут не сильно разбираюсь, но не получается привязать новую карту для оплаты.",client,payment,response,negative,5
325,82,4,"Я тут не сильно разбираюсь, но оекй, буду следить за саттусом!",client,payment,acknowledgment,neutral,3
326,83,1,"Сынко, оплата отклоняется, хотя на счету достаточно средств. Внучка обычно помогает, а её сейчас нет рядом.",client,payment,payment_issue,neutral,4
328,83,3,"Сынок, пробоовал и через приложение, и через сайт — результат одинаковый.",client,payment,response,neutral,2
331,84,2,"Чел, оплаата через СБП не проходит уже второй день. это вообще норм?",client,payment,response,neutral,4
333,84,4,"Бро, ясо, спс за ответ.",client,payment,gratitude,positive,2
334,85,1,"Здрасте, через сколько дней ждать зачисления. Надеюсь, всё решаемо.",client,payment,ask_timing,neutral,4
336,85,3,"Я уже начал переживаьт, поняла, спасибо огромное.",client,payment,gratitude,positive,2
338,86,1,"Деньги ушли, а чек об оплате не пришёл.",client,payment,payment_issue,neutral,5
340,86,3,"К делу: оплачивал с телефона Pixel 7, если это важно. Времени на это у меня немного.",client,payment,response,neutral,3
342,87,1,"Чел, опллатил заказ, а в приложении статус так и не обновился. это вообще норм, если нужно — заказ 545343! 🙂",client,payment,payment_issue,neutral,4
344,87,3,"Чел, катра та же, что и вегда, раньше проблем не было.",client,payment,response,neutral,2
345,88,1,"Привет, сын подсказал написать вам: пдоскажите, сколько обычно ждать возврта средств (заказ №965072).",client,payment,ask_timing,neutral,5
347,88,3,"Я тут не сильно разбираюсь, но понял, спасибо за помощь...",client,payment,gratitude,positive,3
349,89,1,Когда примерно вернут деньги. Совсем распустились.,client,payment,ask_timing,neutral,3
351,90,1,"Система пишет ошибку оплаты, но банк подтверждает списание.",client,payment,payment_issue,neutral,5
353,90,3,"Добрый день. сумма списания 749 рублей, заказ на меньшую сумму, если нужно — заказ 520761.",client,payment,response,neutral,3
354,91,1,"Внезапно (нет), у мнея не проходит оплата картой, уже пробовал несколько раз.",client,payment,payment_issue,negative,3
356,91,3,"Ну красота просто, пробовал и через приложение, и через сайт — результат одинаковый.",client,payment,response,neutral,1
358,92,1,"Здравствуйте, простите, дописываю на бегу, хоччу понять, почему с меня списали больше, чем указано в заказе. Извините, если что-то путано объяснила!",client,payment,payment_issue,negative,4
360,92,3,"Извините, ребёнок плачет, отвлеклась, в приложении банка вижу списание, а у вас статус ""не оплачено"". Извините, ессли что-то путано объяснила, номер заказа 37922.",client,payment,response,neutral,2
362,93,1,Деньги списались дважды за один и тот же заказ.,client,payment,payment_issue,neutral,5
364,93,3,"Прошу прощения за беспокойство, поняла, спасибо огромное. Заранее благодарен за содействие.",client,payment,gratitude,positive,3
366,94,1,"Деньги ушли, а чек об оплате не пришёл. Вы уж извините, я в этм плохо разбираюсь (заказ №387455).",client,payment,payment_issue,negative,5
368,95,1,"Добрый день, third раз пишу, у меня не проходит оплата картой, уже пробовал несколько раз!",client,payment,payment_issue,neutral,5
370,95,3,"Да сколько можно, ошибка появляется прямо на этапе подтверждения оплатты. Уже нервы на пределе.",client,payment,response,neutral,3
371,96,1,"Здрасте, с карты списали деньги, а заказ так и не оформился. Я в этих ваших приложениях не очень (заказ №126318).",client,payment,payment_issue,neutral,5
373,97,1,"Оплатил заказ, а в приложении статус так и не обновился.",client,payment,payment_issue,neutral,3
375,97,3,"Подскажите, пожалуйста: благодарю, выручили.",client,payment,gratitude,positive,1
376,98,1,"Привет, ой, сколько времени займёт решене впороса. Очень переживаю из-за этого (заказ №987054)!",client,payment,ask_timing,neutral,5
378,98,3,"Простите что беспокою, карта та же, что и всегда, раньше проблем не было! 😢",client,payment,response,neutral,3
380,99,1,"Бро, хочу понять, почему с меня списали больше, чем укаазно в заказе 😔",client,payment,payment_issue,negative,3
383,100,2,"Здрасте, я уже начал переживать, оплата через СБП не проходит уже второй день.",client,payment,response,neutral,4
385,100,4,"Меня это очень беспокоит, хорошо, поняла, буду ждать.",client,payment,acknowledgment,neutral,2
386,101,1,"К делу: как быстро обычно рассматривают такие заявки, если нужно — заказ 427116.",client,payment,ask_timing,neutral,4
388,101,3,"Ясно, спс за ответ.",client,payment,gratitude,positive,2
390,102,1,"Здрасте, Добрый день! не получается привязать новую карту для оплаты.",client,payment,payment_issue,neutral,3
392,103,1,"Добрый день, не хочу показаться навязчивым, но оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,negative,3
394,103,3,"Не хочу показаться нваязчивым, но пишет, что операция отклонена, хотя деньги на карте есть.",client,payment,response,neutral,1
396,104,1,"Привет, извините за глупый вопрос, ситсема пишет ошибку оплаты, но бакн подтверждает списание. Объясните, пожалуйста, попроще!",client,payment,payment_issue,negative,4
398,104,3,"Сын подсказал написать вам: код ошибки такой: ERR_402. Объясните, пожалуйста, попроще.",client,payment,response,neutral,2
400,105,1,"Привет, как обычно, система пишет ошибку оплаты, но банк подтверждает списание.",client,payment,payment_issue,neutral,4
402,106,1,"Оплата отклоняется, хотя на счету достаточно средств.",client,payment,payment_issue,neutral,5
404,106,3,"Оплачивал с телефона iPhone 13, если это важно.",client,payment,response,neutral,3
405,107,1,"Привет, хочу понять, почему с меня списали больше, чем указано в заказе.",client,payment,payment_issue,negative,3
407,107,3,"Сумма списания 1250 рублей, заказ на меньшую сумму. Логи готов приложить, если нужно.",client,payment,response,neutral,1
409,108,1,"Добрый день, с карты списали деньги, а заказ так и не оформился 🙏",client,payment,payment_issue,neutral,5
411,108,3,"Внезапно (нет), пишет, что операция отклонена, хотя деньги на карте есть, номер зааказа 371550...",client,payment,response,neutral,3
413,109,1,"Добрый день, деньги списались дважжды за один и тот же заказ, если нужно — заказ 479143.",client,payment,payment_issue,negative,4
415,109,3,"Я тут не сильно разбираюсь, но карта та же, что и всегда, раньше проблем не было.",client,payment,response,neutral,2
416,110,1,"Привет, слш, оплатил заказ, а в приложении статус так и не обновился. это вообще норм?",client,payment,payment_issue,negative,4
418,111,1,"Здрасте, Не могли бы вы подсказать: деньги ушли, а чек об оплате не пришёл. Заранее благодарен за содействие.",client,payment,payment_issue,negative,4
420,111,3,"Будьте добры, оплачивал с телефона Samsung Galaxy A54, если это важно.",client,payment,response,neutral,2
422,112,2,"Привет, простите что беспокою, не полуачется привязать новую карту для оплаты!",client,payment,response,negative,3
424,112,4,"Хорошо, договорились.",client,payment,acknowledgment,neutral,1
425,113,1,"Здравствуйте, раньше такого безобразия не было, у меня не проходдит оплата картой, уже пробовал несколько раз.",client,payment,payment_issue,negative,5
427,113,3,"Опять двадцать пять, в приложении банка вижу списание, а у вас статус ""не оплачено"".",client,payment,response,neutral,3
429,114,1,"Third раз пишу, оплата через СБП не проходит уже второй день. Дети под ногами, времени раззбираться нет.",client,payment,payment_issue,neutral,5
431,114,3,"Thrid раз пишу, пробовал и через приложение, и через сайт — результат одинаковый.",client,payment,response,neutral,3
432,115,1,"Здравствуйте, Коллеги, хочу понять, почему с меня списали больше, чем указано в заказе.",client,payment,payment_issue,neutral,5
434,115,3,"Смотрите, спасибо, вопрос решён.",client,payment,gratitude,positive,3
435,116,1,"Привет, бро, через сколько дней ждать зачисления. это вообще норм?",client,payment,ask_timing,neutral,4
437,116,3,"Чел, ошибка появляеттся прямо на этапе подтверждения оплаыт.",client,payment,response,neutral,2
439,117,1,"Раньше такого безобразия не было, оплата черзе СБП не проходит уже второй день. В наше время такого бардака не было!...",client,payment,payment_issue,negative,5
441,118,1,"Привет, как обычно, система пишет ошибку оплаты, но банк подтверждает списание. Ждём-с.",client,payment,payment_issue,negative,4
443,119,1,"Добрый день, я тут не сильно разбираюсь, но подскажите, сколько обычно ждать возврат средств. Я в этих ваших приложениях не очень.",client,payment,ask_timing,neutral,5
445,119,3,Код ошибки такой: ERR_CARD_LIMIT!,client,payment,response,neutral,3
448,120,2,"Добрый день. оплата отклоняется, хотя на счету достаточно средств.",client,payment,response,negative,4
450,121,1,"Сколько времени займёт решение вопроса. Простите за настойчивость, просто переживаю (заказ №797968).",client,payment,ask_timing,neutral,5
